spearman,r2,rmse,mae,prediction_sd,observed_sd,sd_ratio,calibration_slope,calibration_intercept,noncognate_spearman,specificity_delta,cohort,target,mode,n_cells,n_donors,passes_hard_gate,passes_exploratory_gate
0.6176427932868886,0.35290360108047425,0.3906439452852623,0.2991403231955414,0.36444534591893485,0.48562004619677535,0.7504742622821218,0.8154791878523387,0.08517785234558156,0.2870674451670767,0.33057534811981193,GSE199219,PD-1,observed,7147,6,True,True
-0.31245091901323585,-0.6126433627385208,0.616688390497961,0.520779002306564,0.26178971758159325,0.48562004619677535,0.5390834246482381,-0.5437805964240923,0.8973602075699555,-0.14161263377636168,-0.17083828523687417,GSE199219,PD-1,label_shuffled,7147,6,False,False
0.20130264334362494,-0.1202201205312936,0.34267374929575517,0.272843218549959,0.17946307884208854,0.3237644435148714,0.5543013831098637,0.3050541392370476,0.3098158710747382,0.058089275847435076,0.14321336749618985,GSE199219,PD-L1,observed,7147,6,False,False
-0.25255758444930004,-0.5629174310089526,0.40475961051080617,0.3383885110462036,0.17778125317742355,0.3237644435148714,0.549106786549455,-0.4324148524003446,0.6463243063113163,-0.1881732767121405,-0.06438430773715953,GSE199219,PD-L1,label_shuffled,7147,6,False,False
-0.5063839577887339,-1.2515576822520558,0.7275936693379603,0.6315874476407434,0.35704019720581537,0.48489462820852497,0.7363253301545613,-0.6521196466788931,1.4664137969102269,0.2193401840966834,-0.7257241418854173,GSE199219,CTLA4,observed,7147,6,False,False
-0.4261577574037132,-0.7559912859311997,0.6425524015526901,0.5326580955264846,0.27395882073410016,0.48489462820852497,0.5649862976338983,-0.6693163406893963,1.465260011085314,0.2586943221258936,-0.6848520795296068,GSE199219,CTLA4,label_shuffled,7147,6,False,False
-0.19926870128871718,-0.5383299517233429,0.3651514013217345,0.2936639132355388,0.16780169011693852,0.294407062251188,0.5699648942992073,-0.32759611255833865,0.5678630060829111,-0.3949177455062481,0.1956490442175309,GSE199219,TIGIT,observed,7147,6,False,False
-0.18376812596528802,-0.46386453589285304,0.3562038985952321,0.2875332268274075,0.15485336995242344,0.294407062251188,0.525983883566973,-0.33316225276956346,0.5674174267169988,-0.2062432580633671,0.02247513209807908,GSE199219,TIGIT,label_shuffled,7147,6,False,False
0.08024621204439722,-0.28453839764791766,0.7750675646898859,0.5428697025195508,0.4819442041492571,0.6838581347009263,0.7047429571924697,0.21860033235683937,0.44295366132408653,0.2971791135529198,-0.2169329015085226,GSE199219,CD103,observed,7147,6,False,False
-0.0638653450251475,-0.34252188530650285,0.7923675918710686,0.5545387416119452,0.35818064769031543,0.6838581347009263,0.5237645492759396,-0.11985000486741106,0.6236819243995528,0.016718156622166764,-0.08058350164731426,GSE199219,CD103,label_shuffled,7147,6,False,False
