feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
Hu.CD197,True,False,0.8798839518283006,0.4743153188206759,0.5390657686563116,0.00895907615154297,0.010189136506091555,1.8186578442915315,0.02331612620886579,0.3420881731286079,0.2198487663047372,0.0026494265241596
Hu.CD198,True,False,0.5406526035306491,0.5118384476697564,0.9467048606208011,0.011810980750177622,0.021890655244220632,1.4890389738488685,0.019090243254472672,0.3407866519865468,0.2026208429544526,0.014943587240399
Hu.CD199,True,False,0.1602748989895623,0.5219338757249393,3.2564916840716878,0.006767630821580915,0.042070709745781976,4.11348550786006,0.05273699369051358,0.2953516427578128,0.0062879740519874,0.0007415643454349
Hu.CD1a,False,False,-0.373426536938655,0.45844567099751105,1.2276729842389926,0.014549034648823343,0.03881967923926396,,,0.3462777379508964,0.2125817319966172,0.0022145134667461
Hu.CD1c,True,False,-0.731479496387175,0.2346018362754109,0.32072236806926874,0.009921933719671396,0.013547256111930793,,,0.2713036530040263,0.1702062446640837,0.1437086503810163
Hu.CD1d,True,False,-0.5460891256731165,0.386539547936805,0.7078323478065075,0.010936272534169341,0.01998894341279219,,,0.0046738980815916,0.0155460663389583,0.0006982318753062
Hu.CD2,True,False,-0.5545785497323257,0.4181869414020216,0.7540625969105095,0.05006972319698275,0.09093168453786955,,,0.1148999379942953,0.0871209838233929,0.0640812189638901
Hu.CD200,True,False,1.5987927661177381,0.3757586562523986,0.23502649262345177,0.0032702014657414948,0.0020456534529502825,1.1401099401767865,0.014616794104830595,3.2339112979263427e-10,0.0652922183798757,0.0019136830468231
Hu.CD201,False,False,0.7133461189531167,0.4833243820860275,0.6775454008151589,0.014606170285817283,0.0204495998741193,1.5303350352695464,0.01961967993935316,0.3285561841781801,0.1831026667997519,0.0417926795946146
Hu.CD202b,False,False,0.1994692708251671,0.5226232983118334,2.620069227454627,0.006618684725443295,0.03316317746860796,3.698069115009523,0.047411142500122086,0.3456552824692676,0.2184811692086834,0.0006873108428344
Hu.CD203c,False,False,1.0693336746100635,0.4491006341526308,0.419981755756824,0.00824388770679766,0.007713112553966053,1.289747881027479,0.01653522924394204,0.3062368456879694,0.1569302994744284,0.1040208594379453
Hu.CD204,False,False,1.4890268285846542,0.38749328509800135,0.26023257449721066,0.023212371804618926,0.015611089044658525,1.6546123166674565,0.021212978418813543,0.3072744359797912,0.169354506529234,0.0734270243605327
Hu.CD205,True,False,0.9444964671593619,0.46319333827156733,0.4904129918713758,0.009853958325663997,0.010445330495870968,1.44318289919575,0.018502344861483975,0.0029682407212186,0.0341087428491921,0.0006926888822293
Hu.CD206,True,False,0.43035342861091486,0.5373759189414965,1.2486851113886241,0.02124960463470154,0.04956605052613023,1.9471307184766955,0.024963214339444817,0.3446655096196727,0.2126138357244145,0.0047217332043365
Hu.CD207,True,False,0.6835271644178154,0.47693696974831234,0.697758618202887,0.0070176231342489355,0.010272918067709554,1.4417312062326102,0.01848373341323859,1.9753843146937733e-07,0.0206807192957021,0.0013706800022509
Hu.CD209,True,False,-0.13122356028788834,0.5076253833030799,3.8684012397576497,0.0055532671105617435,0.042180371669024164,,,0.3409856301407644,0.1911722822826823,0.0207414767189815
Hu.CD20_2H7,True,False,-0.7863455678177461,0.1388146070824314,0.17653130222081306,0.01383186784564458,0.017563154896419804,,,0.2516258684280834,0.3024856415669097,0.1274618260658102
Hu.CD21,True,False,-0.7854676847548029,0.14088940769027372,0.17937008794226175,0.013640131976686414,0.017338927227013416,,,0.0004139822529893,0.4749177877713347,0.0108268340242441
Hu.CD218a,True,False,0.3185449455283466,0.5251287517293846,1.6485232589655217,0.011470590163403198,0.03588327365527362,3.106614362622629,0.03982838926439268,0.3278573494883961,0.183073635171521,0.045808573645979
Hu.CD22,True,False,-0.7855477276153813,0.14100628521951422,0.17950059590593523,0.013532079827669219,0.01720062068317089,,,0.0084666162125512,0.4924135618887404,0.0107157928818893
Hu.CD223,True,False,1.537973181737934,0.35921158900522415,0.23356167277202414,0.020932591574248604,0.013593665456226147,1.2360157413467738,0.01584635565829197,3.3342367410186457e-06,0.1022920317225691,0.0016590430437344
Hu.CD226_TX25,True,False,-0.20852280291792272,0.5118022701640214,2.4544187158536968,0.010971464401545108,0.05240604191209202,,,0.3430600550701126,0.2036859298259627,0.0053403363517035
Hu.CD23,True,False,0.841813522148651,0.4857179465442278,0.576989955334143,0.007541121149547507,0.00896563838429231,1.6500286784097113,0.02115421382576553,0.3437998077849188,0.2253532227037683,0.0004103521602728
Hu.CD235a,True,False,0.47983785000639106,0.506197937415139,1.054935406634547,0.009135212425824569,0.01907638107516895,2.4001784679253877,0.030771518819556254,0.0002133379424009,0.0189141978550305,0.0009194591807487
