feature,donor,cell_type,concentration,rep,residual,frac_donor,frac_cell_type,frac_concentration,frac_rep,frac_residual,converged,error
Hu.CD178,0.15524544547843883,0.001134113164939856,0.04285715607106781,0.07966699099155453,0.21454406882139493,0.3146137311635999,0.002298344877583171,0.08685246602259912,0.16144969154609382,0.43478576639012395,True,
Hu.CD179a,0.16223752279861797,0.0011212891489135151,0.0017022804137147294,0.10535064653544797,0.2056551426709196,0.34078724876722194,0.0023553185326004727,0.003575716941513315,0.22129379424282733,0.431987921515837,True,
Hu.CD18,0.0004320472067354862,0.02137867646836715,0.003560918961038211,0.005644294549574158,0.1271983406547241,0.002730772548677375,0.13512482413204066,0.022506938119892305,0.03567500118583794,0.8039624640135518,True,
Hu.CD183,0.09516898338023462,0.003249420988656058,0.00013669616531774098,0.0023971545266573465,0.2746773514613545,0.2533585791103102,0.008650598707436655,0.0003639121170009658,0.006381697515410153,0.7312452125498421,True,
Hu.CD184,0.1884998061387774,0.0013479617445011317,0.03808324494565167,0.10130518239025686,0.2544018019512983,0.32297384175231325,0.002309585309791578,0.06525148316299093,0.17357537185959604,0.4358897179153082,True,
Hu.CD185,0.2033611816061065,0.00573800980600074,0.0007678179590446682,0.1252873143655165,0.25654126476071565,0.3436922389814397,0.00969757070620125,0.0012976570621297827,0.21174285697090406,0.4335696762793253,True,
Hu.CD186,0.17733567190205923,0.0003662350133379319,0.0006214209211850389,0.11074733461056088,0.2232841754197073,0.34611885903211637,0.0007148073683908655,0.0012128721644793607,0.21615358424573253,0.4357998771892808,True,
Hu.CD19,0.0003372259983550533,0.07527809139854968,2.7761243474972555e-05,0.0017747614986275884,0.20537528418769457,0.001192483017958622,0.26619491395973016,9.816802845213759e-05,0.006275829735440324,0.7262386052584187,True,
Hu.CD192,0.21154384733068504,0.003884496818664869,0.036914822368973595,0.12687522637202148,0.27720219281933245,0.32226875868309063,0.005917695001087167,0.0562365397621767,0.1932834361598404,0.4222935703938051,True,
Hu.CD193,0.19165758010057568,5.562679172483301e-07,0.008029474555162336,0.10973369299640472,0.2488460365791203,0.34330788530312945,9.964185201142838e-07,0.014382848453901498,0.1965611903757172,0.44574707944873176,True,
Hu.CD194,2.8646940753009136e-08,0.0022029125800514834,0.0002359109917452912,0.010396752872831407,0.008733425656699352,1.3281515097895213e-06,0.10213312808357644,0.010937486922736748,0.48202225654790404,0.404905800294273,True,
Hu.CD195,0.0011859713130762306,0.002992651863130424,8.991627787789958e-05,0.0015740510177465487,0.17819389852556716,0.006444218315276579,0.01626118754728434,0.000488578533353626,0.00855292896708544,0.9682530866369999,True,
Hu.CD196,0.00025356704790557117,0.022237552793304232,0.0003295011303472655,0.0004494125718320094,0.2992091372390944,0.000786305196984662,0.06895810585020314,0.0010217749244012984,0.0013936173636936824,0.9278401966647172,False,
