source_cohort,held_out_donor,training_donors,n_training_cells,n_test_cells,target,model,scaler,seed,top_variable_genes,locked_genes,selected_features_ref,scaler_scale_ref,fold_seed,prediction_file,spearman,pearson,rmse,calibration_slope
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CD103,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.2536962523108071,0.4148235125543496,0.8535142495755547,0.22362902211310287
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.6426613597293482,0.598779770666862,0.8205952840568799,0.44520009800007193
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.4921366154006171,0.49548337922226604,0.972991998270813,0.5108653026222226
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.055469724431093825,0.04768485351123477,1.4184059031831602,0.028444630562454498
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.004632702366378876,0.009140599422610845,1.0457535580072608,0.006357868893482859
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.03367218638746865,0.034760248692057565,0.796366294757736,0.03133114101018693
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.14887406424233618,0.22018437884828104,1.4899991383725775,0.2766847916100247
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.12655167155261454,0.17736018647962684,1.25325897717936,0.22100365667502786
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,-0.0103745011677023,-0.035226232878436056,2.1803483238796337,-0.05064850344477893
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.00626126749223465,0.015425058316722987,0.9884903074783409,0.009683868261140042
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,TIGIT,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.007274202033408831,0.01348691687064037,0.7932622230175144,0.012029299351945076
GSE199219,CID4497,CID3838;CID4040;CID4513;CID4660;CID4664,6795,352,CD103,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4497,GSE199219::CID4497,20260821,B2_oof_predictions_GSE199219.npy,0.4933033208528958,0.5259354824699258,1.8727791855538147,0.6668423899402538
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.5967645677893793,0.7181168230093138,1.126097196623466,1.1878223919381934
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.6940627920866415,0.7322483060519015,1.8206915832121944,2.148163377772553
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,-0.06780622436997348,-0.05380166032829127,1.2637639735841182,-0.0970032769229707
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.006968312242526534,0.024656907673292372,1.4066941925690701,0.007969848305467458
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.02929585317815946,0.06722279800602626,1.71551007384009,0.21790299453927234
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.3255830961914435,0.3376874055949408,1.8638805502979987,0.9481850969894935
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.24272804303200837,0.24992351327522097,1.3788406515952458,0.9851951070306998
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,-0.007188378103821219,-0.027804196791509764,1.4506485125350883,-0.0803463736284001
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.06147201453668552,0.061782854235426,2.156924849739316,0.056600580781091266
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,TIGIT,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.0539819633058487,0.06750841282804214,1.6162883849708836,0.13921351262520282
GSE199219,CID4513,CID3838;CID4040;CID4497;CID4660;CID4664,6486,661,CD103,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4513,GSE199219::CID4513,20260822,B2_oof_predictions_GSE199219.npy,0.2362890576028071,0.2867155832647169,1.1521420526377624,0.5216937212626309
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.5765067723428166,0.669616756656015,0.526116417671411,0.5526144525758496
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.5124340370011508,0.490506410571848,0.5714817490567013,0.4156833926766385
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,-0.049631998731294834,-0.01586768096082782,0.6350607059482579,-0.015194260418619349
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.0841755633761164,0.08770725879508591,0.6297166748718264,0.08631325977043236
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,-0.07101828911790253,-0.08978742664297659,0.8450755850498902,-0.1306027914084859
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.14886295205498448,0.2347497330366943,0.6667876096090294,0.23407271141493532
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.18658321996806054,0.16927950752414012,0.6550717802251844,0.267141964013618
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,-0.021665584305463836,-0.006986156026376894,0.7941108647325477,-0.011017656089306155
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.05727509315668067,0.0769368952995165,0.6114016887195411,0.07036024072190464
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,TIGIT,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,-0.07377824273969362,-0.04530941256837774,1.0939242671034655,-0.10241533056022158
GSE199219,CID4660,CID3838;CID4040;CID4497;CID4513;CID4664,6828,319,CD103,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4660,GSE199219::CID4660,20260823,B2_oof_predictions_GSE199219.npy,0.3424307766128083,0.43961747056330813,0.582386128976184,0.3136725007523931
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.41768577136354607,0.5277974340177563,0.6203225249242735,0.39075003323663066
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.48672141018887943,0.4832372862308048,0.7020710441461058,0.329775332068955
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.00814444739263196,0.021800862485193057,0.6482050541361825,0.020294886568191412
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.06024283128199994,0.05878400214711892,0.7274368687498106,0.05755258976979414
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,-0.009897499604033211,-0.011042217237370056,0.9361090421795663,-0.014235632324342499
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.1973954872629924,0.2298640961633184,0.829782534123004,0.20728218234735996
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.15843592361527487,0.17655853976099697,0.742122596023536,0.19108973314210081
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,-0.02140588347003906,-0.019278028999905023,0.9563041323349295,-0.026664924750302958
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.040474267448816506,0.03978281693245423,0.8495615066519074,0.034820883788457324
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,TIGIT,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.04325499436342045,0.039048598752377185,0.9892729454293001,0.05750008818158191
