spearman,r2,rmse,prediction_observed_sd_ratio,calibration_slope,source,target,control,n_cells,n_participants,participant_id
0.37820467970926663,0.14431488513946533,0.8658945565948338,0.28515335948229814,1.7080689969442102,GSE334503,CD16,cognate,5100,,HS28
0.5050803661096983,0.16622143983840942,0.9216066066759284,0.3026997429080621,1.4592258561146052,GSE334503,CD16,cognate,5338,,HS30
0.5640483049434017,0.17067021131515503,0.9924898362780366,0.2687754163807227,1.7122054058035339,GSE334503,CD16,cognate,4821,,HS32
0.4667023372570924,0.14941996335983276,0.974934036517733,0.19423741179999618,2.6364955656615554,GSE334503,CD16,cognate,4619,,HS46
0.5720557174476482,0.25528883934020996,1.0096545278206333,0.30083866616713434,1.912697134566167,GSE334503,CD16,cognate,4185,,HS47
0.48196852908655713,0.18015247583389282,0.9518989744817863,0.2568893827526711,2.030352930742096,GSE334503,CD16,cognate,4761,,HS6
0.42751662549194586,0.1334359049797058,0.8888715917838177,0.32504620048059113,1.3705285950005868,GSE334503,CD16,cognate,5350,,HS68
0.48207577264294144,0.180422842502594,0.8058212219466887,0.43516648260710833,1.2589404395242707,GSE334503,CD16,cognate,4783,,HS75
0.49603174532865013,0.18163520097732544,0.8918902127332525,0.3608457546014866,1.4002639582250134,GSE334503,CD16,cognate,4613,,HS86
0.5244759268255985,0.23151260614395142,0.9623481197168161,0.4909222304932828,1.0478915779110451,GSE334503,CD16,cognate,5422,,HS88
0.36382965223575714,0.11827129125595093,0.833877342199102,0.21823466248846476,2.2570172878886092,GSE334503,CD16,cognate,3835,,HS93
0.38030332316684395,0.14753848314285278,0.8586327902306783,0.33499611725107015,1.3049262772703996,GSE334503,CD16,cognate,5077,,HS94
0.7066010455474249,0.2668529152870178,0.8031671475880483,0.5407909818341161,0.9564237091163783,GSE334503,HLA-DR,cognate,84177,17.0,
0.20828789919392038,-0.46636807918548584,1.0173742049715973,0.603782637736774,0.15620939046155569,GSE334503,HLA-DR,noncognate,84177,17.0,
0.7902893706178465,0.2501499056816101,0.875096145524708,0.6570325257389809,0.7931870142622026,GSE334503,HLA-DR,cognate,5577,,HS10
0.7159821927399167,0.2764264941215515,0.9006349972574418,0.5067285345213306,1.0592902883593325,GSE334503,HLA-DR,cognate,5436,,HS12
0.740999557795384,0.23929494619369507,0.7657736809058157,0.5507636290318201,0.9110771458764256,GSE334503,HLA-DR,cognate,4385,,HS16
0.7210824325981875,0.2627451419830322,0.760728906948925,0.6119845680038094,0.8507876143561406,GSE334503,HLA-DR,cognate,6170,,HS22
0.6549592435102638,0.1945742964744568,0.7812929904553488,0.6493866725748797,0.7680757790860289,GSE334503,HLA-DR,cognate,4705,,HS24
0.6864409038960237,0.26387709379196167,0.7914650099726177,0.4100292298737865,1.2927996430620625,GSE334503,HLA-DR,cognate,5100,,HS28
0.6263154775731199,0.27210867404937744,0.7142486179459939,0.511699330360226,1.0399961977582017,GSE334503,HLA-DR,cognate,5338,,HS30
0.6359927074927111,0.2333773970603943,0.8128387405283968,0.5112996987389049,0.9607098734228361,GSE334503,HLA-DR,cognate,4821,,HS32
0.6507482944153741,0.1866036057472229,0.788047855785399,0.6392748084443103,0.7295638364950034,GSE334503,HLA-DR,cognate,4619,,HS46
0.7224972227844109,0.3221692442893982,0.7699444044156439,0.6417808870502473,0.908666945420747,GSE334503,HLA-DR,cognate,4185,,HS47
0.7871652125437386,0.24875593185424805,0.8756640843361934,0.4815689659342922,1.1198554070241884,GSE334503,HLA-DR,cognate,4761,,HS6
