cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE334503,CD1c,0.3175323712813137,0.1857036536123109,0.0116349937458396,0.2386090736723717,0.4153159234464587,0.2626673561901433,0.225156727341861,0.2096561374909201,30,272929
GSE334503,CD196 (CCR6),0.0496294492690397,-0.0128074127589865,-0.0518128635740283,-0.0127928248012636,0.4563504943917515,0.0241455162789727,-0.0437691809859661,-0.0814863221653032,30,272929
GSE334503,CD27,0.6020045590900395,0.4249617463182376,0.2352372905277338,0.3971986575513039,0.7323599175854162,0.553844408381153,0.3838010262810691,0.3499706652681155,30,272929
GSE334503,CD183 (CXCR3),0.0808271810301657,0.0978644317696216,-0.0330933970652864,0.1409570610915731,0.4541980277845032,0.0674373470694924,-0.0213280508090307,-0.0837790957603185,30,272929
GSE334503,CD154,0.0203134135265005,-0.0200911334815114,-0.0611358209852011,0.0201213192980911,0.2305837490848828,0.0180839293016599,-0.0178065072581062,-0.042133948818718,30,272929
GSE334503,CD141 (Thrombomodulin),0.1353237604595907,0.046320041166325,0.0062631857968998,0.050033325076425,0.4976566443435892,0.1245806021920403,0.1018475672668833,0.0778608511162273,30,272929
GSE334503,CD161,0.6292040795875145,0.3981753438526008,0.2269167356652994,0.4119340185335358,0.3882581194415001,0.609304356516059,0.5460037762486841,0.4418420497867495,30,272929
GSE334503,CD69,-0.2534796369602651,-0.0758332375012698,-0.365219709066128,-0.0723733746604125,0.3792548764129175,-0.2420402165416195,-0.2906830493374281,-0.3827929600274546,30,272929
GSE334503,CD127 (IL-7Rα),0.7279947447422015,0.4774480071819041,0.3425834095366676,0.4607702558737578,0.5753009622418778,0.7177965008646927,0.5002760841853614,0.4549266258841872,30,272929
GSE334503,CD274 (B7-H1; PD-L1),0.0038434169802998,-0.0042025372249551,-0.0250693999234638,0.0050733177919874,0.1424132743632267,0.0056685492272977,-0.0076144651741759,-0.0164072777194524,30,272929
GSE334503,CD33,0.3323628297931759,0.0745691743996681,0.0204072055894665,0.1062541584060371,0.5931869406496278,0.3240128757103881,0.1178130769917477,0.0022649825908895,30,272929
GSE334503,CD11c,0.4917747900028301,0.3383807391276279,0.057195059293729,0.2278247226889049,0.6822978012597903,0.461846284485176,0.4098359439061003,0.3823835875821519,30,272929
GSE334503,CD45RA,0.0987546046451526,0.0687948269686414,-0.0395972955522631,0.0745276562537752,0.5447869392866405,0.090361277634015,0.0236130474889912,-0.0039949709496846,30,272929
GSE334503,CD244 (2B4),0.3239659454716905,0.1944964098607123,0.0367140675417753,0.1651116270426612,0.7323892718996678,0.2939399440966748,0.1694737631451755,0.1506863205929542,30,272929
GSE334503,CD226 (DNAM-1),0.1724730934722643,0.1279144520766056,-0.0130273288559188,0.150146112413946,0.3945646768220137,0.1502280639214195,0.06940066530809,0.0329716645419988,30,272929
GSE334503,CD28,0.4281242790656855,0.2708913690556309,0.1536093072949565,0.2249838671113761,0.6097952427853659,0.3937747890538146,0.2869880149766761,0.2072464998280659,30,272929
GSE334503,CD45,0.1374505911226674,0.1135229386269865,0.0153811133443785,0.110519894779639,0.5308051796790785,0.1221503003810261,0.0781103838776798,0.0437683357992508,30,272929
GSE334503,CD38,0.3491272611290932,0.2410611405950289,0.0625599091284328,0.3101970282430504,0.3963005657332263,0.3110758275664276,0.2504842816382183,0.2024109993209238,30,272929
GSE334503,CD4,0.5887939393161179,0.3106922186959774,0.0635672196219157,0.2624511167309417,0.7226684210379829,0.5544312498102015,0.470728902280663,0.4358241432685875,30,272929
GSE334503,CD20,0.5531142443749856,0.1619748293574187,0.0299001548214335,0.1154554041971584,0.4454491893689604,0.5287140363234621,0.4274585042749799,0.2628154891611837,30,272929
GSE334503,TIGIT (VSTM3),0.3094502047086348,0.192073059658744,0.0711000211353281,0.2600891685206015,0.2844166592758288,0.3018975068167084,0.20366094420326,0.1349587753136063,30,272929
