replicate,source,target,analysis_role,null,spearman,noncognate_spearman,specificity_delta,r2,calibration_slope,sd_ratio,complete_gate_pass
136,GSE335494,CD27,primary_direct,NullB,0.4381047470257575,-0.14330872423610555,0.581413471261863,-0.5918511152267456,1.3379128306182662,0.2657220289114974,False
136,GSE335494,CD183 (CXCR3),primary_direct,NullA,-0.0032096035866855423,-0.0012197371858297871,-0.001989866400855755,-3.107335090637207,-0.2664337126013539,0.01802550640226896,False
136,GSE335494,CD183 (CXCR3),primary_direct,NullB,-0.14380693204669115,-0.02733677850259087,-0.11647015354410029,-3.1119956970214844,-7.4379896019478275,0.01802550640226896,False
136,GSE335494,CD154,primary_direct,NullA,-0.00261306794292346,-0.0034517510610348506,0.0008386831181113907,-3.2925267219543457,0.0651185301869112,0.019957719671500986,False
136,GSE335494,CD154,primary_direct,NullB,-0.03254487086308348,-0.14529251685797778,0.1127476459948943,-3.2936530113220215,-1.3476503334476493,0.019957721511239403,False
136,GSE335494,CD141 (Thrombomodulin),primary_direct,NullA,0.005225129183274793,0.0002940780507038081,0.004931051132570985,-3.8227362632751465,0.19435155864741124,0.026639792071047243,False
136,GSE335494,CD141 (Thrombomodulin),primary_direct,NullB,0.17332664712789428,0.11477065574629501,0.05855599138159927,-3.813479423522949,6.716150971361526,0.026639793747175365,False
136,GSE335494,CD161,primary_direct,NullA,0.003996877465907116,0.0006345247209871786,0.0033623527449199372,-1.3990857601165771,0.00944800865142334,0.4226623507643001,False
136,GSE335494,CD161,primary_direct,NullB,0.6214074710242043,0.15749589514278936,0.46391157588141496,-0.8368815183639526,1.5829862032891622,0.42266238506867776,False
136,GSE335494,CD69,primary_direct,NullA,0.0067591224489524085,0.0012448892461042345,0.005514233202848174,-4.709987640380859,0.012282781456759454,0.07086620505982484,False
136,GSE335494,CD69,primary_direct,NullB,0.19278552685761,0.1609806414838523,0.031804885373757696,-4.697616100311279,1.244048128409391,0.07086620505982484,False
136,GSE335494,CD127 (IL-7Rα),primary_direct,NullA,0.02085292601339408,0.00032419375418631016,0.020528732259207767,-1.0641894340515137,0.048476805169876444,0.3977254766394679,False
136,GSE335494,CD127 (IL-7Rα),primary_direct,NullB,0.7109607478131135,0.0395266105706608,0.6714341372424527,-0.58637535572052,1.5587726093660732,0.3977254766394679,False
136,GSE335494,CD274 (B7-H1; PD-L1),primary_direct,NullA,0.0068678586809824286,0.005647377872366181,0.0012204808086162472,-0.10739660263061523,1.0969961937778396,0.006753721278683678,False
136,GSE335494,CD274 (B7-H1; PD-L1),primary_direct,NullB,-0.0025449419036275432,-0.009873088542160667,0.007328146638533125,-0.10753178596496582,-0.38646100537132,0.006753720836606448,False
136,GSE335494,CD33,primary_direct,NullA,0.004140455503805116,0.005393513199915926,-0.0012530576961108097,-1.0894184112548828,0.009596819411385996,0.444000383992056,False
136,GSE335494,CD33,primary_direct,NullB,0.33703238601228425,0.3558594393942903,-0.018827053382006076,-0.7624436616897583,0.8389083096351253,0.444000383992056,False
136,GSE335494,CD11c,primary_direct,NullA,0.0018200804561427594,-0.0028470423603728936,0.004667122816515653,-0.5122220516204834,0.004138838533790352,0.1162318195274169,False
136,GSE335494,CD11c,primary_direct,NullB,0.5283688767902234,-0.4224051578024547,0.9507740345926781,-0.38848936557769775,4.583491933012138,0.1162318195274169,False
136,GSE335494,CD45RA,sensitivity_non_direct,NullA,0.001601541003064239,-0.008832008324037709,0.010433549327101948,-0.41218018531799316,0.03412067537830432,0.07890444940046873,False
136,GSE335494,CD45RA,sensitivity_non_direct,NullB,0.0025925748286961597,0.010336021218121078,-0.007743446389424918,-0.4123101234436035,0.023697785936014258,0.07890445923799039,False
136,GSE335494,CD244 (2B4),primary_direct,NullA,0.007441380228009596,0.0026119460431879345,0.004829434184821661,-0.21635067462921143,0.07271286089773396,0.12161714631449921,False
136,GSE335494,CD244 (2B4),primary_direct,NullB,0.2596058623488154,0.058842501238760773,0.2007633611100546,-0.15740728378295898,2.065288942209158,0.12161714631449921,False
136,GSE335494,CD226 (DNAM-1),primary_direct,NullA,-0.0014414834811052688,-0.0002687912172005731,-0.0011726922639046958,-0.881087064743042,-0.010507797775316585,0.10306423585090269,False
